62,Unofficial media,Media,5
10,Central official media,Media,11
46,Personal & business accounts,Personal & business accounts,123
84,Central official media,Media,22
48,Personal & business accounts,Personal & business accounts,44
93,Local media,Media,576
39,Central official media,Media,29
5,Central official media,Media,426
54,Government agencies of China,Institutions,21
44,Personal & business accounts,Personal & business accounts,34
13,Government agencies of China,Institutions,71
82,Unofficial media,Media,3
61,Unofficial media,Media,16
94,Government agencies of China,Institutions,10
66,Government agencies of China,Institutions,3
31,Government agencies of China,Institutions,17
45,Unofficial media,Media,28
85,Personal & business accounts,Personal & business accounts,89
83,Personal & business accounts,Personal & business accounts,23
88,Government agencies of China,Institutions,6
73,Government agencies of China,Institutions,45
19,Government agencies of China,Institutions,117
71,Government agencies of China,Institutions,4
87,Local media,Media,38
50,Government agencies of China,Institutions,78
92,Personal & business accounts,Personal & business accounts,4
30,Government agencies of China,Institutions,3
56,Government agencies of China,Institutions,15
11,Central official media,Media,217
86,Personal & business accounts,Personal & business accounts,43
40,Personal & business accounts,Personal & business accounts,44
6,Government agencies of China,Institutions,3
91,Personal & business accounts,Personal & business accounts,8
32,Government agencies of China,Institutions,10
57,Government agencies of China,Institutions,4
77,Government agencies of China,Institutions,6
67,Central official media,Media,23
97,Central official media,Media,3
41,Personal & business accounts,Personal & business accounts,4
59,Unofficial media,Media,9
55,Government agencies of China,Institutions,43
36,Unofficial media,Media,3
60,Local media,Media,5
47,Unofficial media,Media,142
100,Unofficial media,Media,50
53,Government agencies of China,Institutions,11
33,Government agencies of China,Institutions,7
26,Government agencies of China,Institutions,26
49,Personal & business accounts,Personal & business accounts,50
22,Government agencies of China,Institutions,9
38,Unofficial media,Media,3
75,Government agencies of China,Institutions,9
28,Local media,Media,9
7,Local media,Media,12
95,Government agencies of China,Institutions,3
34,Government agencies of China,Institutions,44
3,Local media,Media,5
74,Central official media,Media,323
27,Government agencies of China,Institutions,4
14,Government agencies of China,Institutions,23
9,Local media,Media,17
64,Personal & business accounts,Personal & business accounts,131
98,Unofficial media,Media,4
72,Central official media,Media,63
12,Central official media,Media,1007
8,Central official media,Media,123
70,Local media,Media,15
17,Government agencies of China,Institutions,4
69,Government agencies of China,Institutions,310
80,Government agencies of China,Institutions,11
35,Government agencies of China,Institutions,15
16,Government agencies of China,Institutions,50
68,Local media,Media,4
15,Government agencies of China,Institutions,8
89,Unofficial media,Media,31
43,Government agencies of China,Institutions,7
51,Government agencies of China,Institutions,109
29,Local media,Media,8
90,Government agencies of China,Institutions,4
76,Government agencies of China,Institutions,4
21,Local media,Media,8
99,Unofficial media,Media,416
4,Central official media,Media,1095
81,Unofficial media,Media,4
24,Personal & business accounts,Personal & business accounts,4
25,Central official media,Media,325
79,Government agencies of China,Institutions,135
63,Personal & business accounts,Personal & business accounts,21
42,Local media,Media,4
2,Central official media,Media,3
23,Central official media,Media,17
20,Central official media,Media,10
65,Central official media,Media,586
1,Central official media,Media,238
58,Central official media,Media,12
96,Central official media,Media,4
37,Government agencies of China,Institutions,353
18,Government agencies of China,Institutions,382
52,Government agencies of China,Institutions,57
