id,count,eng,oam,start,end,eng01,event,tag,,,
1,97,3.951424393,383.2881662,2012/1/1,2012/1/7,0.314894435,,,,备注,
2,127,5.224211903,663.4749117,2012/1/8,2012/1/14,0.436482372,,,,1,Online activities
3,93,4.202902575,390.8699395,2012/1/15,2012/1/21,0.338917858,,,,2,International conferences 
4,64,1.927985276,123.3910576,2012/1/22,2012/1/29,0.121597607,,,,3,Extreme weather
5,151,4.775993645,721.1750404,2012/1/30,2012/2/5,0.393664593,,,,4,Domestic policy
6,203,5.134072944,1042.216808,2012/2/6,2012/2/12,0.4278715,,,,5,International news
7,160,5.051982497,808.3171995,2012/2/13,2012/2/19,0.420029493,,,,,
8,151,4.396525096,663.8752894,2012/2/20,2012/2/26,0.357414396,,,,,
9,225,5.125494047,1153.236161,2012/2/27,2012/3/4,0.427051967,,,,,
10,234,4.999673121,1169.92351,2012/3/5,2012/3/11,0.415032438,,,,,
11,263,5.678163805,1493.357081,2012/3/12,2012/3/18,0.479847878,,,,,
12,315,5.54498778,1746.671151,2012/3/19,2012/3/25,0.467125725,,,,,
13,458,6.466856852,2961.820438,2012/3/26,2012/4/2,0.555190824,1,1,,,
14,234,5.407681207,1265.397402,2012/4/3,2012/4/9,0.454008985,,,,,
15,210,4.43265968,930.8585327,2012/4/10,2012/4/16,0.360866292,,,,,
16,228,5.876219959,1339.778151,2012/4/17,2012/4/23,0.498767956,,,,,
17,207,4.363134377,903.168816,2012/4/24,2012/4/30,0.354224619,,,,,
18,190,5.180896952,984.3704209,2012/5/1,2012/5/7,0.432344544,,,,,
19,175,4.590232485,803.2906848,2012/5/8,2012/5/14,0.375919042,,,,,
20,238,5.266080042,1253.32705,2012/5/15,2012/5/21,0.440481987,,,,,
21,437,5.525113068,2414.474411,2012/5/22,2012/5/28,0.465227116,2,1,,,
22,233,4.782301664,1114.276288,2012/5/29,2012/6/4,0.394267191,,,,,
23,189,5.021690517,949.0995077,2012/6/5,2012/6/11,0.417135735,,,,,
24,218,4.831230969,1053.208351,2012/6/12,2012/6/18,0.398941352,,,,,
25,223,5.368288401,1197.128313,2012/6/19,2012/6/25,0.450245835,,,,,
26,178,5.006119963,891.0893535,2012/6/26,2012/7/2,0.415648298,,,,,
27,192,4.508766069,865.6830853,2012/7/3,2012/7/9,0.368136648,,,,,
28,202,4.367165373,882.1674054,2012/7/10,2012/7/16,0.354609695,,,,,
29,211,4.89892471,1033.673114,2012/7/17,2012/7/23,0.405408057,,,,,
30,237,6.276013581,1487.415219,2012/7/24,2012/7/30,0.536959784,,,,,
31,238,5.542806013,1319.187831,2012/7/31,2012/8/6,0.466917303,,,,,
32,271,5.3982286,1462.919951,2012/8/7,2012/8/13,0.453105988,,,,,
33,227,5.032955938,1142.480998,2012/8/14,2012/8/20,0.418211908,,,,,
34,215,5.405399494,1162.160891,2012/8/21,2012/8/27,0.453791015,,,,,
35,186,5.009798249,931.8224743,2012/8/28,2012/9/3,0.41599968,,,,,
36,161,4.233613054,681.6117017,2012/9/4,2012/9/10,0.341851595,,,,,
37,464,4.251550287,1972.719333,2012/9/11,2012/9/17,0.343565118,3,3,,,
38,239,5.097727566,1218.356888,2012/9/18,2012/9/24,0.424399467,,,,,
39,229,5.127045815,1174.093492,2012/9/25,2012/10/2,0.427200206,,,,,
40,207,5.208676357,1078.196006,2012/10/3,2012/10/9,0.434998279,,,,,
41,217,5.268854033,1143.341325,2012/10/10,2012/10/16,0.440746983,,,,,
42,195,5.86805584,1144.270889,2012/10/17,2012/10/23,0.497988047,,,,,
43,242,5.560946794,1345.749124,2012/10/24,2012/10/30,0.468650271,,,,,
44,370,3.774205563,1396.456058,2012/10/31,2012/11/7,0.297964922,,,,,
45,237,5.222438967,1237.718035,2012/11/8,2012/11/14,0.436313005,,,,,
46,374,6.502661906,2431.995553,2012/11/15,2012/11/21,0.55861124,,,,,
47,275,5.775555466,1588.277753,2012/11/22,2012/11/28,0.489151592,,,,,
48,437,5.971401713,2609.502549,2012/11/29,2012/12/5,0.507860561,4,2,,,
49,317,6.2069814,1967.613104,2012/12/6,2012/12/12,0.530365219,,,,,
50,215,5.560492957,1195.505986,2012/12/13,2012/12/19,0.468606916,,,,,
51,135,5.005884616,675.7944231,2012/12/20,2012/12/26,0.415625815,,,,,
52,142,4.392932612,623.796431,2012/12/27,2013/1/3,0.35707121,,,,,
53,273,5.17116754,1411.728738,2013/1/4,2013/1/10,0.431415104,,,,,
54,201,5.069396901,1018.948777,2013/1/11,2013/1/17,0.421693071,,,,,
55,242,8.352158811,2021.222432,2013/1/18,2013/1/25,0.735291567,5,4,,,
56,219,5.594880482,1225.278826,2013/1/26,2013/2/1,0.471891917,,,,,
57,199,5.168874429,1028.606011,2013/2/2,2013/2/8,0.431196046,,,,,
58,132,3.449833881,455.3780723,2013/2/9,2013/2/15,0.266978066,,,,,
59,202,5.126482482,1035.549461,2013/2/16,2013/2/22,0.427146392,,,,,
60,184,5.296503773,974.5566942,2013/2/23,2013/3/1,0.443388331,,,,,
61,202,4.797132584,969.020782,2013/3/2,2013/3/8,0.395683972,,,,,
62,257,5.560873321,1429.144444,2013/3/9,2013/3/15,0.468643252,,,,,
63,468,6.231481683,2916.333427,2013/3/16,2013/3/23,0.532705703,6,1,,,
64,268,5.66920998,1519.348275,2013/3/25,2013/3/31,0.47899253,,,,,
65,194,5.1402255,997.2037471,2013/4/1,2013/4/7,0.428459246,,,,,
66,255,5.265423817,1342.683073,2013/4/8,2013/4/14,0.440419299,,,,,
67,314,5.225343507,1640.757861,2013/4/16,2013/4/24,0.436590472,,,,,
68,203,6.320793129,1283.121005,2013/4/26,2013/5/3,0.541237523,,,,,
69,185,5.093855899,942.3633412,2013/5/4,2013/5/12,0.424029611,,,,,
70,277,6.25775773,1733.398891,2013/5/14,2013/5/23,0.535215824,,,,,
71,232,6.175239564,1432.655579,2013/5/24,2013/5/30,0.527332958,,,,,
72,384,6.814126397,2616.624536,2013/5/31,2013/6/7,0.588365087,7,1,,,
73,197,5.949057839,1171.964394,2013/6/8,2013/6/14,0.505726076,,,,,
74,273,5.896259662,1609.678888,2013/6/15,2013/6/23,0.500682326,,,,,
75,206,5.421182115,1116.763516,2013/6/24,2013/6/30,0.455298711,,,,,
76,172,5.099423171,877.1007853,2013/7/1,2013/7/7,0.424561446,,,,,
77,193,5.60489434,1081.744608,2013/7/8,2013/7/16,0.47284853,,,,,
78,294,5.573824088,1638.704282,2013/7/17,2013/7/27,0.469880424,,,,,
79,206,5.955036931,1226.737608,2013/7/28,2013/8/4,0.506297252,,,,,
80,269,5.198560278,1438.12477,2013/8/6,2013/8/15,0.434031901,,,,,
81,224,5.52746133,1238.151338,2013/8/16,2013/8/22,0.465451443,,,,,
82,163,5.310163305,865.5566187,2013/8/23,2013/8/29,0.444693211,,,,,
83,166,5.586712735,927.3943141,2013/8/30,2013/9/5,0.471111662,,,,,
84,182,4.811597682,875.7107781,2013/9/6,2013/9/13,0.397065806,,,,,
85,214,6.136965411,1313.310598,2013/9/14,2013/9/21,0.523676672,,,,,
86,270,5.85678705,1581.332503,2013/9/22,2013/9/30,0.496911553,,,,,
87,186,5.635956042,1048.287824,2013/10/1,2013/10/9,0.475815819,,,,,
88,332,5.304537147,1761.106333,2013/10/11,2013/10/19,0.44415575,,,,,
89,240,6.537829202,1569.079008,2013/10/20,2013/10/27,0.561970732,,,,,
90,626,6.161171462,3856.893335,2013/10/29,2013/11/9,0.525989048,8,3,,,
91,504,6.478319795,3265.073177,2013/11/10,2013/11/22,0.556285866,,,,,
92,350,6.196153779,2168.653823,2013/11/24,2013/12/6,0.529330869,,,,,
93,243,4.944973534,1201.628569,2013/12/8,2013/12/16,0.409807049,,,,,
94,180,4.992410741,898.6339334,2013/12/17,2013/12/23,0.414338671,,,,,
95,219,5.01099073,1097.40697,2013/12/24,2013/12/30,0.416113596,,,,,
96,141,4.983033247,702.6076878,2013/12/31,2014/1/6,0.41344285,,,,,
97,224,5.01501204,1123.362697,2014/1/7,2014/1/13,0.416497748,,,,,
98,489,4.305121206,2105.20427,2014/1/14,2014/1/20,0.348682687,9,3,,,
99,189,5.345558295,1010.310518,2014/1/21,2014/1/27,0.448074454,,,,,
100,56,4.104984279,229.8791196,2014/1/28,2014/2/3,0.329563835,,,,,
101,218,5.341651308,1164.479985,2014/2/4,2014/2/12,0.447701224,,,,,
102,184,5.438134505,1000.616749,2014/2/13,2014/2/21,0.456918153,,,,,
103,206,5.707325053,1175.708961,2014/2/22,2014/3/1,0.482633619,,,,,
104,173,5.423968046,938.346472,2014/3/2,2014/3/8,0.455564848,,,,,
105,191,5.298946927,1012.098863,2014/3/10,2014/3/17,0.443621723,,,,,
106,282,6.182899784,1743.577739,2014/3/18,2014/3/25,0.52806473,,,,,
107,446,4.586801061,2045.713273,2014/3/26,2014/4/2,0.375591242,10,1,,,
108,165,5.094696957,840.6249979,2014/4/3,2014/4/10,0.424109957,,,,,
109,235,5.797723574,1362.46504,2014/4/11,2014/4/17,0.491269286,,,,,
110,225,6.19984991,1394.96623,2014/4/18,2014/4/24,0.529683956,,,,,
111,206,4.972701494,1024.376508,2014/4/25,2014/5/2,0.412455869,,,,,
112,207,5.562244037,1151.384516,2014/5/3,2014/5/9,0.468774195,,,,,
113,252,10.17168613,2563.264905,2014/5/10,2014/5/16,0.909108933,11,5,,,
114,214,4.610350346,986.6149741,2014/5/17,2014/5/23,0.377840878,,,,,
115,257,4.946516047,1271.254624,2014/5/24,2014/5/30,0.409954404,,,,,
116,192,5.569318032,1069.309062,2014/5/31,2014/6/6,0.469449966,,,,,
117,265,5.091450778,1349.234456,2014/6/7,2014/6/14,0.423799853,,,,,
118,190,5.530441821,1050.783946,2014/6/15,2014/6/21,0.465736166,,,,,
