Id,Source,Target,Type,Weight
0,1,2,Undirected,247
1,1,12,Undirected,8368
2,1,16,Undirected,14719
3,1,21,Undirected,2398
4,1,25,Undirected,10209
5,1,30,Undirected,11135
6,1,32,Undirected,4195
7,1,33,Undirected,11673
8,1,37,Undirected,12651
9,1,52,Undirected,850
10,1,57,Undirected,16973
11,1,66,Undirected,3459
12,1,72,Undirected,1520
13,1,74,Undirected,4966
14,1,85,Undirected,5211
15,1,92,Undirected,680
16,1,93,Undirected,2299
17,1,108,Undirected,585
18,1,112,Undirected,4338
19,1,113,Undirected,2641
20,1,125,Undirected,1347
21,1,126,Undirected,2104
22,1,129,Undirected,1521
23,2,27,Undirected,4363
24,2,35,Undirected,7781
25,2,41,Undirected,10035
26,2,42,Undirected,897
27,2,58,Undirected,1976
28,2,59,Undirected,7370
29,2,62,Undirected,22071
30,2,63,Undirected,1963
31,2,86,Undirected,5088
32,2,91,Undirected,789
33,2,109,Undirected,1844
34,2,114,Undirected,3921
35,2,120,Undirected,1023
36,2,127,Undirected,4799
37,2,128,Undirected,10498
38,2,133,Undirected,2557
39,3,4,Undirected,3755
40,3,11,Undirected,234
41,3,13,Undirected,200
42,3,14,Undirected,15497
43,3,16,Undirected,307
44,3,18,Undirected,11279
45,3,19,Undirected,9162
46,3,22,Undirected,2751
47,3,24,Undirected,2447
48,3,26,Undirected,9976
49,3,31,Undirected,1581
50,3,37,Undirected,541
51,3,38,Undirected,416
52,3,39,Undirected,537
53,3,41,Undirected,555
54,3,43,Undirected,192
55,3,44,Undirected,229
56,3,48,Undirected,11511
57,3,50,Undirected,473
58,3,51,Undirected,193
59,3,53,Undirected,405
60,3,54,Undirected,290
61,3,57,Undirected,334
62,3,60,Undirected,567
63,3,61,Undirected,648
64,3,64,Undirected,280
65,3,67,Undirected,2307
67,3,71,Undirected,171
68,3,75,Undirected,599
69,3,77,Undirected,240
70,3,79,Undirected,3372
71,3,80,Undirected,2560
72,3,81,Undirected,6587
73,3,82,Undirected,2717
74,3,83,Undirected,1560
75,3,84,Undirected,5639
76,3,85,Undirected,6802
77,3,90,Undirected,153
78,3,94,Undirected,4646
79,3,96,Undirected,188
80,3,98,Undirected,190
81,3,99,Undirected,625
82,3,103,Undirected,225
83,3,105,Undirected,176
84,3,108,Undirected,184
85,3,110,Undirected,3899
86,3,112,Undirected,210
87,3,115,Undirected,2111
88,3,117,Undirected,221
89,3,119,Undirected,186
90,3,123,Undirected,213
91,3,124,Undirected,1381
92,3,125,Undirected,9642
93,3,126,Undirected,676
94,3,127,Undirected,993
95,3,134,Undirected,1251
96,3,135,Undirected,6462
97,4,14,Undirected,4913
98,4,18,Undirected,1994
99,4,19,Undirected,1372
100,4,26,Undirected,3005
101,4,31,Undirected,12317
102,4,39,Undirected,1053
103,4,48,Undirected,4015
104,4,67,Undirected,704
105,4,79,Undirected,3884
106,4,80,Undirected,4669
107,4,84,Undirected,2793
108,4,94,Undirected,4730
109,4,110,Undirected,3477
110,4,115,Undirected,4662
111,4,118,Undirected,920
112,4,124,Undirected,4521
113,4,134,Undirected,4655
114,5,6,Undirected,1231
115,5,7,Undirected,2124
116,5,8,Undirected,4704
117,5,9,Undirected,9308
118,5,14,Undirected,257
119,5,17,Undirected,9562
120,5,18,Undirected,162
121,5,20,Undirected,828
122,5,22,Undirected,10434
123,5,23,Undirected,8088
124,5,24,Undirected,391
125,5,27,Undirected,269
126,5,28,Undirected,8116
127,5,29,Undirected,3701
128,5,33,Undirected,155
129,5,37,Undirected,170
130,5,38,Undirected,477
131,5,39,Undirected,8725
132,5,46,Undirected,9623
133,5,54,Undirected,248
134,5,57,Undirected,679
135,5,62,Undirected,410
136,5,64,Undirected,166
137,5,65,Undirected,265
138,5,67,Undirected,451
140,5,70,Undirected,7017
141,5,73,Undirected,5935
142,5,74,Undirected,7242
143,5,77,Undirected,1834
144,5,83,Undirected,3893
145,5,88,Undirected,953
146,5,89,Undirected,6412
147,5,97,Undirected,2729
148,5,100,Undirected,2612
149,5,101,Undirected,1267
150,5,102,Undirected,7102
151,5,105,Undirected,1447
152,5,106,Undirected,9067
153,5,111,Undirected,3264
154,5,112,Undirected,9497
155,5,116,Undirected,1389
156,5,117,Undirected,9057
157,5,119,Undirected,1556
158,5,135,Undirected,381
159,6,7,Undirected,11753
160,6,8,Undirected,2799
161,6,9,Undirected,12186
162,6,17,Undirected,2123
163,6,20,Undirected,2930
164,6,22,Undirected,587
165,6,23,Undirected,1757
166,6,28,Undirected,13184
167,6,29,Undirected,4054
168,6,39,Undirected,1754
169,6,46,Undirected,8890
171,6,73,Undirected,1498
172,6,77,Undirected,2012
173,6,83,Undirected,2053
174,6,88,Undirected,1142
175,6,97,Undirected,3451
176,6,100,Undirected,4450
177,6,101,Undirected,2586
178,6,105,Undirected,3881
179,6,111,Undirected,2768
180,6,116,Undirected,1820
181,6,119,Undirected,4432
183,7,8,Undirected,3942
184,7,9,Undirected,7455
185,7,17,Undirected,2574
186,7,20,Undirected,793
187,7,22,Undirected,2916
188,7,23,Undirected,980
189,7,28,Undirected,9812
190,7,29,Undirected,2753
191,7,39,Undirected,4594
192,7,46,Undirected,2749
194,7,73,Undirected,1607
195,7,77,Undirected,3320
196,7,83,Undirected,1564
197,7,88,Undirected,1469
198,7,97,Undirected,4607
199,7,100,Undirected,2728
200,7,101,Undirected,1849
201,7,105,Undirected,3875
202,7,111,Undirected,3640
203,7,116,Undirected,1293
204,7,119,Undirected,3567
205,8,9,Undirected,7532
206,8,17,Undirected,10756
207,8,20,Undirected,3278
208,8,22,Undirected,10228
209,8,23,Undirected,3334
210,8,24,Undirected,276
211,8,28,Undirected,4671
212,8,29,Undirected,2268
213,8,39,Undirected,10615
214,8,46,Undirected,9084
215,8,54,Undirected,257
